"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","epithelium development","4","853","14","13832","5.09e-2","8.30e-1","4.63","1.00e+0","8.17e-1","8.74e-3","ENSMUSG00000021835,ENSMUSG00000027070,ENSMUSG00000022676,ENSMUSG00000001288"
"GOTERM_BP_DIRECT","mesoderm formation","6","853","34","13832","5.53e-2","8.98e-1","2.86","1.00e+0","8.85e-1","1.65e-2","ENSMUSG00000024868,ENSMUSG00000028173,ENSMUSG00000021835,ENSMUSG00000042821,ENSMUSG00000032402,ENSMUSG00000035403"
"GOTERM_BP_DIRECT","positive regulation of neuron differentiation","11","853","92","13832","5.62e-2","9.09e-1","1.94","1.00e+0","8.95e-1","2.58e-2","ENSMUSG00000050966,ENSMUSG00000029697,ENSMUSG00000048904,ENSMUSG00000034758,ENSMUSG00000058620,ENSMUSG00000021835,ENSMUSG00000027478,ENSMUSG00000031734,ENSMUSG00000002633,ENSMUSG00000031997,ENSMUSG00000047407"
"GOTERM_BP_DIRECT","negative regulation of angiogenesis","10","853","81","13832","6.07e-2","9.42e-1","2.00","1.00e+0","9.27e-1","2.68e-2","ENSMUSG00000040152,ENSMUSG00000036390,ENSMUSG00000016918,ENSMUSG00000029163,ENSMUSG00000029373,ENSMUSG00000050295,ENSMUSG00000032679,ENSMUSG00000025701,ENSMUSG00000062070,ENSMUSG00000006445"
"GOTERM_BP_DIRECT","response to wounding","9","853","69","13832","6.08e-2","9.42e-1","2.12","1.00e+0","9.27e-1","2.53e-2","ENSMUSG00000046711,ENSMUSG00000025407,ENSMUSG00000021127,ENSMUSG00000090173,ENSMUSG00000002603,ENSMUSG00000078249,ENSMUSG00000006800,ENSMUSG00000027239,ENSMUSG00000032456"
"GOTERM_BP_DIRECT","ventricular cardiac muscle cell action potential","4","853","15","13832","6.08e-2","9.42e-1","4.32","1.00e+0","9.27e-1","1.13e-2","ENSMUSG00000041957,ENSMUSG00000057123,ENSMUSG00000035165,ENSMUSG00000032511"
"GOTERM_BP_DIRECT","cellular response to zinc ion","4","853","15","13832","6.08e-2","9.42e-1","4.32","1.00e+0","9.27e-1","1.13e-2","ENSMUSG00000031762,ENSMUSG00000064267,ENSMUSG00000041736,ENSMUSG00000031765"
"GOTERM_BP_DIRECT","pharyngeal system development","4","853","15","13832","6.08e-2","9.42e-1","4.32","1.00e+0","9.27e-1","1.13e-2","ENSMUSG00000022941,ENSMUSG00000025219,ENSMUSG00000034460,ENSMUSG00000051367"
"GOTERM_BP_DIRECT","myoblast differentiation","4","853","15","13832","6.08e-2","9.42e-1","4.32","1.00e+0","9.27e-1","1.13e-2","ENSMUSG00000068220,ENSMUSG00000020053,ENSMUSG00000002633,ENSMUSG00000022610"
"GOTERM_BP_DIRECT","chondrocyte proliferation","4","853","15","13832","6.08e-2","9.42e-1","4.32","1.00e+0","9.27e-1","1.13e-2","ENSMUSG00000026147,ENSMUSG00000026674,ENSMUSG00000056758,ENSMUSG00000019997"
"GOTERM_BP_DIRECT","synaptic transmission, cholinergic","4","853","15","13832","6.08e-2","9.42e-1","4.32","1.00e+0","9.27e-1","1.13e-2","ENSMUSG00000002104,ENSMUSG00000027577,ENSMUSG00000035200,ENSMUSG00000032303"
"GOTERM_BP_DIRECT","regulation of smooth muscle contraction","4","853","15","13832","6.08e-2","9.42e-1","4.32","1.00e+0","9.27e-1","1.13e-2","ENSMUSG00000020787,ENSMUSG00000058620,ENSMUSG00000035200,ENSMUSG00000032303"
"GOTERM_BP_DIRECT","eyelid development in camera-type eye","4","853","15","13832","6.08e-2","9.42e-1","4.32","1.00e+0","9.27e-1","1.13e-2","ENSMUSG00000021359,ENSMUSG00000037188,ENSMUSG00000020122,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","sulfur compound metabolic process","4","853","15","13832","6.08e-2","9.42e-1","4.32","1.00e+0","9.27e-1","1.13e-2","ENSMUSG00000016918,ENSMUSG00000048087,ENSMUSG00000006800,ENSMUSG00000027597"
"GOTERM_BP_DIRECT","developmental process","6","853","35","13832","6.14e-2","9.42e-1","2.78","1.00e+0","9.27e-1","1.89e-2","ENSMUSG00000034845,ENSMUSG00000048904,ENSMUSG00000034758,ENSMUSG00000007805,ENSMUSG00000031283,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","lung development","12","853","106","13832","6.15e-2","9.42e-1","1.84","1.00e+0","9.27e-1","2.99e-2","ENSMUSG00000032796,ENSMUSG00000025407,ENSMUSG00000055653,ENSMUSG00000025219,ENSMUSG00000021318,ENSMUSG00000021835,ENSMUSG00000026043,ENSMUSG00000027820,ENSMUSG00000020053,ENSMUSG00000002633,ENSMUSG00000035104,ENSMUSG00000019997"
"GOTERM_BP_DIRECT","cell development","7","853","46","13832","6.16e-2","9.42e-1","2.47","1.00e+0","9.27e-1","2.16e-2","ENSMUSG00000031162,ENSMUSG00000027985,ENSMUSG00000061013,ENSMUSG00000031737,ENSMUSG00000020053,ENSMUSG00000031734,ENSMUSG00000002633"
"GOTERM_BP_DIRECT","natural killer cell mediated cytotoxicity","5","853","25","13832","6.44e-2","9.42e-1","3.24","1.00e+0","9.27e-1","1.67e-2","ENSMUSG00000078452,ENSMUSG00000028691,ENSMUSG00000039232,ENSMUSG00000053219,ENSMUSG00000034028"
"GOTERM_BP_DIRECT","positive regulation of wound healing","5","853","25","13832","6.44e-2","9.42e-1","3.24","1.00e+0","9.27e-1","1.67e-2","ENSMUSG00000039942,ENSMUSG00000026674,ENSMUSG00000024331,ENSMUSG00000032702,ENSMUSG00000008843"
"GOTERM_BP_DIRECT","cell adhesion mediated by integrin","5","853","25","13832","6.44e-2","9.42e-1","3.24","1.00e+0","9.27e-1","1.67e-2","ENSMUSG00000020689,ENSMUSG00000024053,ENSMUSG00000029163,ENSMUSG00000022817,ENSMUSG00000000555"
"GOTERM_BP_DIRECT","pituitary gland development","5","853","25","13832","6.44e-2","9.42e-1","3.24","1.00e+0","9.27e-1","1.67e-2","ENSMUSG00000025407,ENSMUSG00000048450,ENSMUSG00000021835,ENSMUSG00000024985,ENSMUSG00000056758"
"GOTERM_BP_DIRECT","bud elongation involved in lung branching","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000021835,ENSMUSG00000053110,ENSMUSG00000037211"
"GOTERM_BP_DIRECT","maintenance of lens transparency","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000050295,ENSMUSG00000025389,ENSMUSG00000053279"
"GOTERM_BP_DIRECT","positive regulation of G0 to G1 transition","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000054342,ENSMUSG00000028587,ENSMUSG00000019997"
"GOTERM_BP_DIRECT","gland development","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000025407,ENSMUSG00000021318,ENSMUSG00000001288"
