"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0098813"	"GO:0098813"	"nuclear chromosome segregation"	286	-0.443970185020615	-2.2446502837216	9.27325912629631e-16	1.03985334548911e-13	6.71466556574128e-14	2783	"tags=42%, list=17%, signal=36%"
"GO:0008380"	"GO:0008380"	"RNA splicing"	427	-0.385676479525956	-2.04831780044465	1.3760319993859e-15	1.51389482800362e-13	9.77570300258864e-14	3639	"tags=40%, list=23%, signal=31%"
"GO:0045055"	"GO:0045055"	"regulated exocytosis"	222	0.547586562462794	2.3328347198242	1.95688245190971e-15	2.11307066242324e-13	1.36447729639006e-13	2234	"tags=37%, list=14%, signal=33%"
"GO:0000075"	"GO:0000075"	"cell cycle checkpoint signaling"	175	-0.5154104505461	-2.47956291523337	2.68330307021475e-15	2.84478912771313e-13	1.83697130759008e-13	3470	"tags=49%, list=22%, signal=39%"
"GO:0002181"	"GO:0002181"	"cytoplasmic translation"	195	-0.495541507075582	-2.40711993743814	3.13822522464882e-15	3.26767701516558e-13	2.11004353920466e-13	4284	"tags=61%, list=27%, signal=45%"
"GO:0045787"	"GO:0045787"	"positive regulation of cell cycle"	311	-0.425375670962977	-2.19408299800909	3.37496633345187e-15	3.45253134918559e-13	2.22940989376867e-13	3242	"tags=45%, list=20%, signal=36%"
"GO:0007215"	"GO:0007215"	"glutamate receptor signaling pathway"	61	0.744760739791258	2.63155035048688	3.83723506597896e-15	3.85774442581436e-13	2.49106893484696e-13	2879	"tags=69%, list=18%, signal=57%"
"GO:0000070"	"GO:0000070"	"mitotic sister chromatid segregation"	180	-0.509159136828702	-2.45162446378552	5.36411200080706e-15	5.30137916554339e-13	3.42327004939997e-13	2731	"tags=50%, list=17%, signal=42%"
"GO:0050905"	"GO:0050905"	"neuromuscular process"	189	0.562104779233649	2.36645436124222	5.8216549569025e-15	5.65767834228308e-13	3.65334382120004e-13	3229	"tags=45%, list=20%, signal=36%"
"GO:1901987"	"GO:1901987"	"regulation of cell cycle phase transition"	402	-0.388294672142624	-2.04681462687471	6.51572339395105e-15	6.22839067379157e-13	4.02187102332405e-13	3470	"tags=44%, list=22%, signal=35%"
"GO:0032543"	"GO:0032543"	"mitochondrial translation"	126	-0.561822870770154	-2.56849514481323	6.8833069566865e-15	6.47363917168371e-13	4.18023582072455e-13	5076	"tags=66%, list=32%, signal=45%"
"GO:0051588"	"GO:0051588"	"regulation of neurotransmitter transport"	118	0.638591529136489	2.51782394344244	7.3184886525874e-15	6.77366783067256e-13	4.37397391985048e-13	3130	"tags=57%, list=19%, signal=46%"
"GO:0006397"	"GO:0006397"	"mRNA processing"	468	-0.365510766244302	-1.96556784474733	7.74570242847909e-15	7.05706107194712e-13	4.55696999780752e-13	4501	"tags=45%, list=28%, signal=33%"
"GO:0033044"	"GO:0033044"	"regulation of chromosome organization"	229	-0.466360578944803	-2.30686485341289	1.35670768788743e-14	1.21707115816486e-12	7.85901765113091e-13	3274	"tags=46%, list=20%, signal=37%"
"GO:0007156"	"GO:0007156"	"homophilic cell adhesion via plasma membrane adhesion molecules"	142	0.599056911475397	2.42595203970443	1.94721528771412e-14	1.72033520343349e-12	1.11087545201809e-12	2764	"tags=59%, list=17%, signal=49%"
"GO:0140014"	"GO:0140014"	"mitotic nuclear division"	253	-0.440358514727206	-2.20955259843656	3.4304999347889e-14	2.98555897309762e-12	1.92787089815238e-12	3533	"tags=51%, list=22%, signal=41%"
"GO:0051604"	"GO:0051604"	"protein maturation"	470	-0.35917162514706	-1.93403156416707	5.18170984204048e-14	4.44331618954972e-12	2.86919134751994e-12	3316	"tags=33%, list=21%, signal=27%"
"GO:0006865"	"GO:0006865"	"amino acid transport"	153	0.579376979688441	2.36570439785966	5.5712309703049e-14	4.70585810786223e-12	3.0387230594776e-12	2992	"tags=48%, list=19%, signal=39%"
"GO:0099175"	"GO:0099175"	"regulation of postsynapse organization"	191	0.547237570615244	2.30588948605251	5.64928944521276e-14	4.70585810786223e-12	3.0387230594776e-12	3036	"tags=44%, list=19%, signal=36%"
"GO:0007346"	"GO:0007346"	"regulation of mitotic cell cycle"	461	-0.364459585655878	-1.96028977102347	5.89889722142781e-14	4.84457319692191e-12	3.12829582817602e-12	3620	"tags=43%, list=22%, signal=34%"
"GO:0051963"	"GO:0051963"	"regulation of synapse assembly"	209	0.538466249972414	2.27340315050544	7.64222618278353e-14	6.1891417877515e-12	3.9965267625463e-12	3036	"tags=49%, list=19%, signal=40%"
"GO:0046928"	"GO:0046928"	"regulation of neurotransmitter secretion"	102	0.64239123829192	2.46778046124678	9.68528961465297e-14	7.73629092370431e-12	4.99557043282100e-12	3124	"tags=55%, list=19%, signal=45%"
"GO:0099072"	"GO:0099072"	"regulation of postsynaptic membrane neurotransmitter receptor levels"	173	0.553526881356807	2.30682884108787	1.83441403761958e-13	1.44546868288645e-11	9.33385350293774e-12	2955	"tags=50%, list=18%, signal=42%"
"GO:0051047"	"GO:0051047"	"positive regulation of secretion"	328	0.470265673986374	2.07400399546644	2.03852854661561e-13	1.58488799404208e-11	1.02341285771846e-11	3130	"tags=37%, list=19%, signal=30%"
"GO:0098815"	"GO:0098815"	"modulation of excitatory postsynaptic potential"	68	0.701642412302166	2.50679352650581	2.12283824525156e-13	1.62871971158708e-11	1.05171639934416e-11	3036	"tags=68%, list=19%, signal=55%"
"GO:0097479"	"GO:0097479"	"synaptic vesicle localization"	69	0.700941218636156	2.5091901403385	2.39226530058806e-13	1.81159726853623e-11	1.1698062857421e-11	1600	"tags=43%, list=10%, signal=39%"
"GO:0048285"	"GO:0048285"	"organelle fission"	440	-0.361004084378369	-1.92603988955784	2.54252643458216e-13	1.90070149231392e-11	1.22734373232124e-11	2863	"tags=37%, list=18%, signal=31%"
"GO:0017157"	"GO:0017157"	"regulation of exocytosis"	199	0.532972606614965	2.24387531705366	2.83784255051406e-13	2.09461517874019e-11	1.35256000042489e-11	3128	"tags=43%, list=19%, signal=35%"
